country_css_class,country,national_language,population,flag_image_url,compliance_requirement_for_telecom_radio,regulatory_authority,mandatory_requirements_telecom_radio_safety_emc,in_country_test,language_requirements_application_manual_report,local_representation_required_for_approval,country_specific_labelling,approval_validity,factory_inspection,other_requirements,radio_telecom_certificate_example_url,radio_telecom_mark_artwork_url,emc_certification_and_test_report_required_for_it_products,emission_and_immunity,safety_certification_required_for_it_products,safety_test_report_requirement,rohs_certification_required_for_it_products,rohs_requirements,sample_required_in_country,language_requirements_user_manual_product_safety_markings,local_representative_applicant_required,mandatory_factory_inspection_requirement,remarks,safety_emc_certificate_example_url,safety_emc_mark_artwork_url,energy_efficiency_requirements,energy_efficiency_certificate_example_url,energy_efficiency_mark_artwork_url
morocco,MOROCCO,Arabic/Berber,36.9 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/ma.png,Yes,Agence Nationale de Reglementation des Telecommunications (ANRT),TelecomRadioEMCSafety,No,French or Arabic,Yes,Yes,10 years,No,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,,,,,,Unknown,,,,,,,,Unknown,,
namibia,NAMIBIA,English,2.5 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/na.png,Yes,Communications Regulatory Authority of Namibia (CRAN),Telecom Radio,No,English,No,None,3 years,No,,,,,,,,,Unknown,,,,,,,,Unknown,,
new-zealand,NEW ZEALAND,English/M?ori,5 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/nz.png,Yes,R - Radio Spectrum Management (RSM) T -Telecom NZ,TelecomRadioSafetyEMC,No,English,Yes – Supplier holds tech. file,Yes,Life of product,No,,,,,,,,,Unknown,,,,,,,,Yes,,
nigeria,NIGERIA,English,206.1 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/ng.png,Yes,Nigerian Communications Commission (NCC),Telecom Radio,Yes (Depending on device type),English,Yes,None,Life of product,No,,,,No,No,Yes,Yes,No,No,No,English is OK,No,"Yes, ISO 9001 Cert and Factory Inspection report",HS code required,,,Unknown,,
oman,OMAN,Arabic,5.1 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/om.png,Yes,Oman Telecommunications Regulatory Authority (TRA),TelecomRadioEMCSafety,No,No,Yes,None,Life of product,No,,,,No,No,No,No,No,Yes (10 substances),No,Not applicable,Not applicable,Not applicable,GSO is only for HOUS equipment,,,Yes,,
pakistan,PAKISTAN,Urdu/English,220.9 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/pk.png,Yes,Pakistan Telecommunication Authority (PTA),Telecom Radio,Yes,English,No,Yes,Life of product,No,,,,,,,,,Unknown,,,,,,,,Unknown,,
philippines,PHILIPPINES,Filipino/English,109.6 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/ph.png,Yes,National Telecommunications Commission (NTC),TelecomRadioEMCSafety,No,English,No,Yes,Life of product,No,,,,,,,,,Unknown,,,,,,,,Yes,,
qatar,QATAR,Arabic,2.9 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/qa.png,Yes,Supreme Council of Information and Communication Technology (ICT Qatar),TelecomRadioEMCSafety,No,No,Yes,None,Life of product,No,,,,No,No,No,No,No,No,No,Not applicable,Not applicable,Not applicable,GSO is only for HOUS equipment,,,Unknown,,
russia central-east-europe,RUSSIA,Russian,144.1 million,https://www.nemko.com/hubfs/Flag-of-Russia.jpg,Yes,Federal Agency of Communications (FAC),TelecomRadioSafetyEMC,Depends on the product/technology,Manual in Russian,Yes,None,5 years,Yes,,,,COC or DoC scheme,E and I,COC or DoC scheme (note the certification validity),"Yes, CB scheme only (IEC 62368-1, IEC 60950)",CoC or DoC Scheme (note the certification validity),Yes (6 substances),"Yes, for CoC","Yes, Russian",Yes,Yes,HS code required List all other product exemptions and note and assumption info.,,,"Yes, will be in 2022",,
saudi-arabia,SAUDI ARABIA,Arabic,34.8 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/sa.png,Yes,Communications and Information Technology Commission (CITC),TelecomRadioEMCSafety,No,No,Yes,None,2 years,No,,,,No,No,No,No,No,Yes (6 substances),No,Not applicable,Not applicable,Not applicable,GSO is only for HOUS equipment,,,Yes,,
singapore,SINGAPORE,Malay/English,5.6 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/sg.png,Yes,Infocomm Media Development Authority (IMDA),TelecomRadioEMCSafety,No,English,Yes,Yes,5 years,No,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,No,No,Yes,Yes,Yes,Yes (6 substances),No,English is OK,Yes,No,,,,Yes,,
south-africa,SOUTH AFRICA,Afrikaans/English/+,59.3 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/za.png,Yes,Independent Communications Authority of South Africa (ICASA),TelecomRadioEMCSafety,No,English,Yes,Yes,Life of product,No,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,"Yes, from approved SABS LAS lab","Yes, from approved SABS LAS lab",Yes,Yes,No,No,No,English is OK,Yes,No,HS code required,,,Yes,,
taiwan,TAIWAN,Mandarin,23.5 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/tw.png,Yes,R/T: National communications Commission Nemko Canada (CAB),TelecomRadioEMCSafety,"No, Reports accepted from accredited MRA labs",Chinese (traditional),No,Yes,Life of product,No,,,,No,Emission only,Yes,Yes,Yes,Yes (6 substances),Yes,Class A: English | Class B: traditional Chinese,Yes,"No, factory list is accepted",HS code required,,,No,,
tanzania,TANZANIA,Swahili/English,59.7 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/tz.png,Yes,Tanzania Communications Regulatory Authority (TCRA),Telecom Radio,Yes (Depending on device type),English,No,None,Life of product,No,,,,,,,,,Unknown,,,,,,,,Unknown,,
